Format,Players,Name,URL,Date,Status,Organization
Commander,73,"cEDH $5K Commander Celebration Package - SCG CON Milwaukee - February 20-22, 2026","https://melee.gg/Tournament/View/395162",2026-02-21,Ended,Star City Games
Commander,67,"cEDH $5K Commander Celebration Package - SCG CON Richmond - March 6-8, 2026","https://melee.gg/Tournament/View/402373",2026-03-07,Ended,Star City Games
Commander,60,"cEDH $5K Commander Celebration Package - SCG CON Portland - January 23-25, 2026","https://melee.gg/Tournament/View/389996",2026-01-24,Ended,Star City Games
Commander,40,"cEDH $5K Commander Celebration Package - SCG CON Atlanta - January 9-11, 2026","https://melee.gg/Tournament/View/387504",2026-01-10,Ended,Star City Games
Draft,342,"Pro Tour Lorwyn Eclipsed in Richmond, USA","https://melee.gg/Tournament/View/394299",2026-01-30,Ended,Wizards of the Coast
Duel Commander,223,[Lyon Sat 08:45] Duel Commander Main Event,"https://melee.gg/Tournament/View/394573",2026-01-10,Ended,Fanfinity
Duel Commander,94,CHAMPIONNAT RÉGIONAL Alsace 07/03/2026,"https://melee.gg/Tournament/View/408223",2026-03-07,Ended,MTGPRIME
Duel Commander,94,CHAMPIONNAT REGIONAL LIMOUSIN,"https://melee.gg/Tournament/View/404100",2026-02-22,Ended,MTGPRIME
Duel Commander,87,CHAMPIONNAT REGIONAL : Languedoc Roussillon 22/02/2026,"https://melee.gg/Tournament/View/405656",2026-02-22,Ended,MTGPRIME
Duel Commander,87,Duel Commander CR Aquitaine,"https://melee.gg/Tournament/View/401539",2026-02-07,Ended,MTG Pau
Duel Commander,78,CHAMPIONNAT REGIONAL : Haute Normandie 08/03,"https://melee.gg/Tournament/View/409170",2026-03-08,Ended,MTGPRIME
Duel Commander,70,OQ DC Aquitaine ,"https://melee.gg/Tournament/View/403210",2026-02-08,Ended,MTG Pau
Duel Commander,69,OPEN QUALIFIER : Franche Comté TCG BEsançon 24/01/2025,"https://melee.gg/Tournament/View/396837",2026-01-24,Ended,MTGPRIME
Duel Commander,68,CHAMPIONNAT RÉGIONAL : Franche-Comté - TCG Besançon 25/01/2026 ,"https://melee.gg/Tournament/View/383483",2026-01-25,Ended,MTGPRIME
Duel Commander,66,[Lyon Sun 10:00] Duel Commander Rebound,"https://melee.gg/Tournament/View/394578",2026-01-11,Ended,Fanfinity
Duel Commander,62,CHAMPIONNAT REGIONAL BOURGOGNE 01/03/2026,"https://melee.gg/Tournament/View/404103",2026-03-01,Ended,MTGPRIME
Duel Commander,56,OPEN QUALIFIER Haure normandie 07/03,"https://melee.gg/Tournament/View/410313",2026-03-07,Ended,MTGPRIME
Duel Commander,55,OPEN QUALIFIER : Alsace Ohlungen 08/03/2026,"https://melee.gg/Tournament/View/408229",2026-03-08,Ended,MTGPRIME
